evaluations raw_y current_y raw_y_best current_y_best violation penalty n_evals x0 x1 x2 x3 x4 x5 x6 x7 x8 x9 x10 x11 x12 x13 x14
53 8056.8542494924 8129.2542494924 0.7125105357 1.9125105357 40.4853823586 72.4000000000 8.0000000000 0.214813 0.273066 0.880522 0.966487 0.449789 0.628039 0.572422 0.885687 0.509810 0.615202 0.970458 0.727861 0.927036 0.752446 0.888197
54 12800.0000000000 12831.9000000000 0.7125105357 1.9125105357 64.0886111111 31.9000000000 8.0000000000 0.560723 0.272478 0.886480 0.580915 0.458384 0.934345 0.928829 0.864395 0.412583 0.171232 0.871185 0.970192 0.796776 0.979492 0.999276
55 0.3318004442 0.3318004442 0.3318004442 0.3318004442 0.0000000000 0.0000000000 9.0000000000 0.069758 0.119398 0.905164 0.894689 0.583092 0.639306 0.999025 0.750029 0.796383 0.314647 0.970570 0.948316 0.976807 0.646961 0.626406
56 30019.3397570080 30021.0397570080 0.3318004442 0.3318004442 150.1014210073 1.7000000000 9.0000000000 0.027321 0.009955 0.931010 0.844563 0.402965 0.783947 0.611331 0.742886 0.919520 0.594852 0.987329 0.959009 0.800991 0.412522 0.967297
57 867142.7735337599 867151.0735337599 0.3318004442 0.3318004442 4335.7369232244 8.3000000000 9.0000000000 0.265554 0.198684 0.536529 0.907383 0.014668 0.610315 0.809005 0.306728 0.640310 0.423053 0.747168 0.780694 0.978875 0.918908 0.662422
58 20898.4845004941 20914.1845004941 0.3318004442 0.3318004442 104.5360336136 15.7000000000 9.0000000000 0.202392 0.095627 0.999141 0.705569 0.305100 0.643863 0.361994 0.688846 0.348670 0.351023 0.940548 0.639216 0.641293 0.959299 0.962516
59 5600.0000000000 5612.1000000000 0.3318004442 0.3318004442 28.0336111111 12.1000000000 9.0000000000 0.538003 0.025077 0.923718 0.831155 0.339804 0.604590 0.627064 0.313965 0.626834 0.124627 0.770284 0.993452 0.892384 0.524071 0.997299
60 800.0000000000 800.0000000000 0.3318004442 0.3318004442 4.0000000000 0.0000000000 9.0000000000 0.477356 0.011078 0.973453 0.898881 0.464065 0.999321 0.983788 0.786645 0.129343 0.531564 0.916811 0.745219 0.769234 0.407925 0.968183
61 2529.8221281347 2585.6221281347 0.3318004442 0.3318004442 12.8041106407 55.8000000000 9.0000000000 0.395188 0.380829 0.793299 0.996590 0.309363 0.707231 0.702394 0.815518 0.510479 0.796845 0.874426 0.999406 0.663823 0.580277 0.991817
62 12079.2156108742 12109.8156108742 0.3318004442 0.3318004442 60.4810780544 30.6000000000 9.0000000000 0.060981 0.233658 0.925774 0.966603 0.634077 0.747538 0.932978 0.926232 0.485661 0.229129 0.844216 0.909926 0.999290 0.840407 0.941848
63 27200.0000000000 27200.0000000000 0.3318004442 0.3318004442 136.0000000000 0.0000000000 9.0000000000 0.047544 0.000240 0.947272 0.987786 0.601125 0.889908 0.971474 0.909290 0.666107 0.565048 0.998490 0.815104 0.870165 0.318139 0.992377
64 3200.0000000000 3292.8000000000 0.3318004442 0.3318004442 16.2577777778 92.8000000000 9.0000000000 0.577726 0.104506 0.975597 0.993836 0.968486 0.923982 0.852263 0.616185 0.831346 0.339291 0.999621 0.718197 0.966356 0.643639 0.979972
65 1.6621832690 64.7621832690 0.3318004442 0.3318004442 0.1752777778 63.1000000000 10.0000000000 0.297476 0.141937 0.782119 0.963284 0.262148 0.446145 0.568531 0.336138 0.430118 0.649699 0.965125 0.999295 0.860711 0.799071 0.990176
66 16811.1025509280 16815.2025509280 0.3318004442 0.3318004442 84.0669016435 4.1000000000 10.0000000000 0.291187 0.006492 0.536349 0.947752 0.312059 0.727589 0.997705 0.433635 0.390260 0.722026 0.955506 0.944200 0.831525 0.977512 0.852797
67 4129.8221281347 4217.2221281347 0.3318004442 0.3318004442 20.8918884185 87.4000000000 10.0000000000 0.436204 0.194890 0.892702 0.803734 0.484493 0.705063 0.996117 0.804491 0.567986 0.536150 0.834374 0.553334 0.651352 0.940851 0.998401
68 1.9189068013 27.4189068013 0.3318004442 0.3318004442 0.0708333333 25.5000000000 11.0000000000 0.344907 0.001561 0.999796 0.998538 0.253871 0.697128 0.857739 0.684937 0.631751 0.703654 0.935792 0.932604 0.659110 0.682420 0.944937
69 20866.2100242386 20896.6100242386 0.3318004442 0.3318004442 104.4154945656 30.4000000000 11.0000000000 0.093247 0.004751 0.977905 0.603837 0.527627 0.487462 0.639298 0.953541 0.242563 0.100211 0.907321 0.926532 0.795767 0.970918 0.986993
70 4400.0000000000 4427.2000000000 0.3318004442 0.3318004442 22.0755555556 27.2000000000 11.0000000000 0.524282 0.030966 0.995440 0.843721 0.435706 0.647083 0.892002 0.326501 0.555687 0.468531 0.803901 0.980913 0.989533 0.661755 0.831996
71 0.4770225822 27.8770225822 0.3318004442 0.3318004442 0.0761111111 27.4000000000 12.0000000000 0.348554 0.004904 0.985447 0.990950 0.461288 0.817176 0.976571 0.823669 0.604046 0.633858 0.864818 0.779846 0.781044 0.398237 0.973331
72 400.0000000000 549.3000000000 0.3318004442 0.3318004442 2.4147222222 149.3000000000 12.0000000000 0.211473 0.302605 0.991463 0.997407 0.983434 0.945663 0.940513 0.526361 0.570041 0.348738 0.790644 0.482693 0.744405 0.424084 0.957552
73 42759.9691833407 42759.9691833407 0.3318004442 0.3318004442 213.7998459167 0.0000000000 12.0000000000 0.137400 0.162131 0.963999 0.705840 0.159485 0.979021 0.971123 0.390666 0.446721 0.478924 0.980121 0.865282 0.789447 0.522190 0.993751
74 38673.3807047020 38690.3807047020 0.3318004442 0.3318004442 193.4141257457 17.0000000000 12.0000000000 0.210880 0.005334 0.973076 0.995074 0.614455 0.407612 0.879015 0.827922 0.441926 0.446140 0.960712 0.827965 0.686298 0.353005 0.863091
75 4800.0000000000 4820.7000000000 0.3318004442 0.3318004442 24.0575000000 20.7000000000 12.0000000000 0.544603 0.211434 0.934587 0.868500 0.411766 0.979150 0.811544 0.513560 0.623326 0.544516 0.887878 0.955701 0.362040 0.863664 0.906896
76 4833.2183894378 4870.3183894378 0.3318004442 0.3318004442 24.2691475027 37.1000000000 12.0000000000 0.195579 0.006419 0.998856 0.868723 0.799817 0.736684 0.699800 0.604330 0.656007 0.829764 0.736959 0.999505 0.661249 0.366938 0.888110
77 13600.0000000000 13636.0000000000 0.3318004442 0.3318004442 68.1000000000 36.0000000000 12.0000000000 0.694149 0.253747 0.997904 0.933776 0.553348 0.710782 0.896292 0.657285 0.599140 0.620085 0.836570 0.569724 0.497498 0.268845 0.686422
78 3794.7331922021 3835.4331922021 0.3318004442 0.3318004442 19.0867215166 40.7000000000 12.0000000000 0.305067 0.004332 0.909571 0.986372 0.417418 0.510128 0.995729 0.623877 0.885405 0.713691 0.704342 0.998292 0.885203 0.383879 0.997298
79 1697.0562748477 1759.1562748477 0.3318004442 0.3318004442 8.6577813742 62.1000000000 12.0000000000 0.290067 0.309625 0.900199 0.790883 0.673049 0.798569 0.971679 0.775645 0.386837 0.649851 0.963279 0.736995 0.860138 0.603138 0.956248
80 30400.0000000000 30440.8000000000 0.3318004442 0.3318004442 152.1133333333 40.8000000000 12.0000000000 0.018099 0.066105 0.995822 0.897932 0.067219 0.451678 0.957919 0.945453 0.819228 0.622623 0.972857 0.973390 0.556807 0.744342 0.998999
81 3200.0000000000 3204.1000000000 0.3318004442 0.3318004442 16.0113888889 4.1000000000 12.0000000000 0.007574 0.091110 0.973175 0.995529 0.585711 0.149367 0.979915 0.549435 0.306587 0.222670 0.786857 0.983737 0.988673 0.845166 0.738666
82 53634.0271562850 53634.0271562850 0.3318004442 0.3318004442 268.1701357814 0.0000000000 12.0000000000 0.005447 0.102399 0.883481 0.949144 0.356422 0.993221 0.997177 0.789389 0.872763 0.670623 0.901132 0.784867 0.542694 0.550745 0.983276
83 7200.0000000000 7273.3000000000 0.3318004442 0.3318004442 36.2036111111 73.3000000000 12.0000000000 0.153833 0.277805 0.877815 0.683517 0.410635 0.546643 0.810130 0.907959 0.652137 0.854066 0.968985 0.821897 0.826314 0.578842 0.736818
84 15785.6996786292 15785.6996786292 0.3318004442 0.3318004442 78.9284983931 0.0000000000 12.0000000000 0.203936 0.069148 0.404816 0.995565 0.096498 0.664305 0.982945 0.930624 0.360141 0.871474 0.984442 0.608248 0.687946 0.680612 0.977997
85 4.4697872188 4.4697872188 0.3318004442 0.3318004442 0.0000000000 0.0000000000 13.0000000000 0.177289 0.148730 0.837068 0.645479 0.486604 0.560551 0.714121 0.831784 0.878460 0.149243 0.998901 0.767868 0.749748 0.714392 0.721548
86 6400.0000000000 6453.7000000000 0.3318004442 0.3318004442 32.1491666667 53.7000000000 13.0000000000 0.009919 0.511059 0.994301 0.907053 0.910047 0.770747 0.893018 0.700743 0.505283 0.117953 0.996396 0.915396 0.989861 0.409735 0.999252
87 13159.7979746447 13243.0979746447 0.3318004442 0.3318004442 66.0303787621 83.3000000000 13.0000000000 0.703362 0.294546 0.976638 0.998212 0.736934 0.704592 0.977363 0.764848 0.950972 0.822360 0.677408 0.540737 0.815522 0.531835 0.929955
88 19200.0000000000 19217.3000000000 0.3318004442 0.3318004442 96.0480555556 17.3000000000 13.0000000000 0.012794 0.335285 0.805636 0.858665 0.609402 0.516583 0.999020 0.452731 0.865075 0.404876 0.773555 0.994862 0.993124 0.833547 0.937157
89 17729.8221281347 17729.8221281347 0.3318004442 0.3318004442 88.6491106407 0.0000000000 13.0000000000 0.287076 0.026073 0.998720 0.900389 0.584376 0.912031 0.997874 0.994432 0.508602 0.580694 0.788535 0.953525 0.997622 0.415798 0.856303
90 0.0858404631 77.2858404631 0.3318004442 0.3318004442 0.2144444444 77.2000000000 14.0000000000 0.234847 0.038349 0.991558 0.936375 0.722775 0.638678 0.993487 0.928411 0.571176 0.712658 0.994262 0.986723 0.894685 0.684074 0.951103
91 19459.6442562694 19459.6442562694 0.3318004442 0.3318004442 97.2982212813 0.0000000000 14.0000000000 0.144008 0.255861 0.999262 0.652744 0.275155 0.543976 0.905718 0.931990 0.385293 0.547831 0.789040 0.966692 0.992685 0.590912 0.905229
92 44268.4684273408 44268.4684273408 0.3318004442 0.3318004442 221.3423421367 0.0000000000 14.0000000000 0.008227 0.025450 0.665159 0.975251 0.652395 0.953226 0.999357 0.999880 0.590299 0.353173 0.962695 0.777305 0.973380 0.871099 0.968981
93 0.1259871441 80.1259871441 0.3318004442 0.3318004442 0.2222222222 80.0000000000 15.0000000000 0.016789 0.525840 0.996331 0.898230 0.383274 0.346676 0.909633 0.928834 0.642592 0.550535 0.902168 0.582514 0.988171 0.600828 0.718165
94 0.0712997152 99.6712997152 0.3318004442 0.3318004442 0.2766666667 99.6000000000 16.0000000000 0.402616 0.394475 0.999106 0.841554 0.569470 0.143336 0.888600 0.302687 0.702363 0.638452 0.964120 0.923379 0.871082 0.461679 0.912791
95 0.1401783717 56.2401783717 0.3318004442 0.3318004442 0.1558333333 56.1000000000 17.0000000000 0.178520 0.031136 0.967292 0.990267 0.731121 0.631723 0.995565 0.720420 0.436831 0.680512 0.843609 0.830681 0.981297 0.655694 0.941261
96 0.1263878890 78.4263878890 0.3318004442 0.3318004442 0.2175000000 78.3000000000 18.0000000000 0.002362 0.097762 0.990817 0.978208 0.606128 0.635874 0.991679 0.351630 0.641062 0.711894 0.828402 0.990818 0.680471 0.819414 0.998487
97 0.0900540998 94.9900540998 0.3318004442 0.3318004442 0.2636111111 94.9000000000 19.0000000000 0.326350 0.009347 0.966460 0.803032 0.893859 0.606379 0.896726 0.607493 0.420701 0.458416 0.801700 0.753880 0.894614 0.592161 0.986119
98 0.2029807046 95.1029807046 0.3318004442 0.3318004442 0.2636111111 94.9000000000 20.0000000000 0.230431 0.250087 0.873601 0.703652 0.656859 0.333378 0.903988 0.989856 0.533785 0.587233 0.857903 0.918716 0.997066 0.712795 0.939313
99 12800.0000000000 12825.6000000000 0.3318004442 0.3318004442 64.0711111111 25.6000000000 20.0000000000 0.083497 0.275573 0.976269 0.837833 0.576040 0.524146 0.949832 0.946662 0.654376 0.242936 0.938519 0.914550 0.714974 0.405288 0.676557
100 0.0758631140 72.4758631140 0.3318004442 0.3318004442 0.2011111111 72.4000000000 21.0000000000 0.506475 0.117635 0.978106 0.986403 0.479751 0.484038 0.777102 0.793321 0.850133 0.333075 0.984710 0.600977 0.878189 0.358221 0.972961
101 0.0886981995 99.0886981995 0.3318004442 0.3318004442 0.2750000000 99.0000000000 22.0000000000 0.242646 0.296701 0.998313 0.829570 0.495873 0.445543 0.893784 0.965832 0.997959 0.169421 0.892616 0.993414 0.823284 0.654727 0.857220
102 0.0836400163 100.3836400163 0.3318004442 0.3318004442 0.2786111111 100.3000000000 23.0000000000 0.264880 0.288402 0.971051 0.951646 0.686784 0.504392 0.923489 0.409994 0.741224 0.234403 0.890825 0.794755 0.635229 0.450677 0.999020
103 0.0511859815 138.3511859815 0.3318004442 0.3318004442 0.3841666667 138.3000000000 24.0000000000 0.156968 0.422895 0.994949 0.867920 0.932184 0.437208 0.796058 0.706550 0.346510 0.163568 0.689128 0.783141 0.995942 0.848558 0.872303
104 0.3512492027 35.3512492027 0.3318004442 0.3318004442 0.0972222222 35.0000000000 25.0000000000 0.049746 0.288295 0.823237 0.985776 0.497644 0.392762 0.965882 0.852224 0.682927 0.431768 0.996239 0.767367 0.823452 0.790043 0.662793
105 16759014.3981292807 16759014.3981292807 0.3318004442 0.3318004442 83795.0719906464 0.0000000000 25.0000000000 0.090872 0.004228 0.728264 0.830036 0.536583 0.301833 0.863633 0.683778 0.568322 0.021663 0.837636 0.989816 0.995703 0.974404 0.986132
106 20000.0000000000 20014.7000000000 0.3318004442 0.3318004442 100.0408333333 14.7000000000 25.0000000000 0.159692 0.079755 0.984176 0.961241 0.239125 0.848764 0.846066 0.997275 0.691229 0.455019 0.824053 0.614802 0.770919 0.681909 0.998947
107 18264.7615158762 18264.7615158762 0.3318004442 0.3318004442 91.3238075794 0.0000000000 25.0000000000 0.011715 0.200481 0.998854 0.947610 0.415453 0.767882 0.787394 0.993944 0.652628 0.406622 0.921318 0.710696 0.796561 0.178600 0.569447
